background_cell_count,background_energy_increase_db,false_alarm_count,hit_count,input_type,mask_name,measured_pfa,mse_db_to_clean,mse_power_to_clean,noise_floor_change_db,pd,protocol,sir_name,source_sequence,source_stage,split_definition,target_count,target_peak_abs_bias_db_mean,target_peak_bias_db_mean,target_pfa,target_sir_db,test_frame_count,threshold_source
10839,-0.09994751670765877,9,133,bce_rec_anchor_model_clean,default,0.0008303349017437033,0.0490234113069278,1619806752.8283515,-0.030316775590087275,0.4925925925925926,D2A_fixed_pfa,,2019_04_30_mlms000,D3-Rerun,clean_peak_percentile,270,0.062079255575160426,-0.0093802289336167,0.001,,120,input_specific_validation_background
3326,-0.09994751670765877,7,47,bce_rec_anchor_model_clean,default,0.0021046301864101023,0.0490234113069278,1619806752.8283515,-0.030316775590087275,0.4017094017094017,D2A_fixed_pfa,,2019_04_30_mlms001,D3-Rerun,clean_peak_percentile,117,0.062079255575160426,-0.0093802289336167,0.001,,40,input_specific_validation_background
10839,-0.09994751670765877,118,164,bce_rec_anchor_model_clean,default,0.010886613156195222,0.0490234113069278,1619806752.8283515,-0.030316775590087275,0.6074074074074074,D2A_fixed_pfa,,2019_04_30_mlms000,D3-Rerun,cfar_margin,270,0.062079255575160426,-0.0093802289336167,0.01,,120,input_specific_validation_background
3326,-0.09994751670765877,35,60,bce_rec_anchor_model_clean,default,0.010523150932050512,0.0490234113069278,1619806752.8283515,-0.030316775590087275,0.5128205128205128,D2A_fixed_pfa,,2019_04_30_mlms001,D3-Rerun,cfar_margin,117,0.062079255575160426,-0.0093802289336167,0.01,,40,input_specific_validation_background
10839,-0.09994751670765877,9,133,bce_rec_anchor_model_clean,default,0.0008303349017437033,0.0490234113069278,1619806752.8283515,-0.030316775590087275,0.4925925925925926,D2A_fixed_pfa,,2019_04_30_mlms000,D3-Rerun,cfar_margin,270,0.062079255575160426,-0.0093802289336167,0.001,,120,input_specific_validation_background
3326,-0.09994751670765877,7,47,bce_rec_anchor_model_clean,default,0.0021046301864101023,0.0490234113069278,1619806752.8283515,-0.030316775590087275,0.4017094017094017,D2A_fixed_pfa,,2019_04_30_mlms001,D3-Rerun,cfar_margin,117,0.062079255575160426,-0.0093802289336167,0.001,,40,input_specific_validation_background
11481,0.2580160938631236,119,120,interfered,narrow,0.010364950788258862,0.6288538260336516,7367296713.801158,0.03428395700542097,0.4444444444444444,D2A_fixed_pfa,light,2019_04_30_mlms000,D3-Rerun,clean_peak_percentile,270,0.002752538059447579,0.0016162952975118927,0.01,10.0,120,input_specific_validation_background
3577,0.2580160938631236,32,50,interfered,narrow,0.008946044171093095,0.6288538260336516,7367296713.801158,0.03428395700542097,0.42735042735042733,D2A_fixed_pfa,light,2019_04_30_mlms001,D3-Rerun,clean_peak_percentile,117,0.002752538059447579,0.0016162952975118927,0.01,10.0,40,input_specific_validation_background
11481,0.2580160938631236,16,100,interfered,narrow,0.0013936068286734605,0.6288538260336516,7367296713.801158,0.03428395700542097,0.37037037037037035,D2A_fixed_pfa,light,2019_04_30_mlms000,D3-Rerun,clean_peak_percentile,270,0.002752538059447579,0.0016162952975118927,0.001,10.0,120,input_specific_validation_background
3577,0.2580160938631236,6,38,interfered,narrow,0.0016773832820799553,0.6288538260336516,7367296713.801158,0.03428395700542097,0.3247863247863248,D2A_fixed_pfa,light,2019_04_30_mlms001,D3-Rerun,clean_peak_percentile,117,0.002752538059447579,0.0016162952975118927,0.001,10.0,40,input_specific_validation_background
