background_energy_increase_db,class_group,hit_count,input_type,mask_name,mse_db_to_clean,mse_power_to_clean,noise_floor_change_db,pd,protocol,sir_name,source_stage,split_definition,target_count,target_peak_abs_bias_db_mean,target_peak_bias_db_mean,target_pfa,target_scope,target_sir_db,threshold_source
0.020936670009687693,vehicle_like,38,mse_model_clean,narrow,0.048443113856534624,10139392847.331367,0.05275989205355813,0.8260869565217391,D2A_fixed_pfa,,D3-Rerun,cfar_margin,46,0.050882145098635846,0.04771234938479939,0.01,all,,input_specific_validation_background
0.020936670009687693,cyclist_like,10,mse_model_clean,narrow,0.048443113856534624,10139392847.331367,0.05275989205355813,0.09174311926605505,D2A_fixed_pfa,,D3-Rerun,cfar_margin,109,0.050882145098635846,0.04771234938479939,0.01,non_overlap_only,,input_specific_validation_background
0.020936670009687693,motorbike_like,0,mse_model_clean,narrow,0.048443113856534624,10139392847.331367,0.05275989205355813,,D2A_fixed_pfa,,D3-Rerun,cfar_margin,0,0.050882145098635846,0.04771234938479939,0.01,non_overlap_only,,input_specific_validation_background
0.020936670009687693,pedestrian_like,86,mse_model_clean,narrow,0.048443113856534624,10139392847.331367,0.05275989205355813,0.5548387096774193,D2A_fixed_pfa,,D3-Rerun,cfar_margin,155,0.050882145098635846,0.04771234938479939,0.01,non_overlap_only,,input_specific_validation_background
0.020936670009687693,vehicle_like,22,mse_model_clean,narrow,0.048443113856534624,10139392847.331367,0.05275989205355813,0.7586206896551724,D2A_fixed_pfa,,D3-Rerun,cfar_margin,29,0.050882145098635846,0.04771234938479939,0.01,non_overlap_only,,input_specific_validation_background
0.020936670009687693,cyclist_like,14,mse_model_clean,narrow,0.048443113856534624,10139392847.331367,0.05275989205355813,0.09523809523809523,D2A_fixed_pfa,,D3-Rerun,cfar_margin,147,0.050882145098635846,0.04771234938479939,0.001,all,,input_specific_validation_background
0.020936670009687693,motorbike_like,0,mse_model_clean,narrow,0.048443113856534624,10139392847.331367,0.05275989205355813,,D2A_fixed_pfa,,D3-Rerun,cfar_margin,0,0.050882145098635846,0.04771234938479939,0.001,all,,input_specific_validation_background
0.020936670009687693,pedestrian_like,95,mse_model_clean,narrow,0.048443113856534624,10139392847.331367,0.05275989205355813,0.4896907216494845,D2A_fixed_pfa,,D3-Rerun,cfar_margin,194,0.050882145098635846,0.04771234938479939,0.001,all,,input_specific_validation_background
0.020936670009687693,vehicle_like,33,mse_model_clean,narrow,0.048443113856534624,10139392847.331367,0.05275989205355813,0.717391304347826,D2A_fixed_pfa,,D3-Rerun,cfar_margin,46,0.050882145098635846,0.04771234938479939,0.001,all,,input_specific_validation_background
0.020936670009687693,cyclist_like,3,mse_model_clean,narrow,0.048443113856534624,10139392847.331367,0.05275989205355813,0.027522935779816515,D2A_fixed_pfa,,D3-Rerun,cfar_margin,109,0.050882145098635846,0.04771234938479939,0.001,non_overlap_only,,input_specific_validation_background
0.020936670009687693,motorbike_like,0,mse_model_clean,narrow,0.048443113856534624,10139392847.331367,0.05275989205355813,,D2A_fixed_pfa,,D3-Rerun,cfar_margin,0,0.050882145098635846,0.04771234938479939,0.001,non_overlap_only,,input_specific_validation_background
0.020936670009687693,pedestrian_like,67,mse_model_clean,narrow,0.048443113856534624,10139392847.331367,0.05275989205355813,0.432258064516129,D2A_fixed_pfa,,D3-Rerun,cfar_margin,155,0.050882145098635846,0.04771234938479939,0.001,non_overlap_only,,input_specific_validation_background
0.020936670009687693,vehicle_like,20,mse_model_clean,narrow,0.048443113856534624,10139392847.331367,0.05275989205355813,0.6896551724137931,D2A_fixed_pfa,,D3-Rerun,cfar_margin,29,0.050882145098635846,0.04771234938479939,0.001,non_overlap_only,,input_specific_validation_background
0.020477560415586987,cyclist_like,61,mse_model_clean,default,0.048443113856534624,10139392847.331367,0.05480122379309904,0.41496598639455784,D2A_fixed_pfa,,D3-Rerun,clean_peak_percentile,147,0.053228616017303915,0.05012594301186423,0.01,all,,input_specific_validation_background
0.020477560415586987,motorbike_like,0,mse_model_clean,default,0.048443113856534624,10139392847.331367,0.05480122379309904,,D2A_fixed_pfa,,D3-Rerun,clean_peak_percentile,0,0.053228616017303915,0.05012594301186423,0.01,all,,input_specific_validation_background
0.020477560415586987,pedestrian_like,117,mse_model_clean,default,0.048443113856534624,10139392847.331367,0.05480122379309904,0.6030927835051546,D2A_fixed_pfa,,D3-Rerun,clean_peak_percentile,194,0.053228616017303915,0.05012594301186423,0.01,all,,input_specific_validation_background
0.020477560415586987,vehicle_like,38,mse_model_clean,default,0.048443113856534624,10139392847.331367,0.05480122379309904,0.8260869565217391,D2A_fixed_pfa,,D3-Rerun,clean_peak_percentile,46,0.053228616017303915,0.05012594301186423,0.01,all,,input_specific_validation_background
0.020477560415586987,cyclist_like,8,mse_model_clean,default,0.048443113856534624,10139392847.331367,0.05480122379309904,0.12121212121212122,D2A_fixed_pfa,,D3-Rerun,clean_peak_percentile,66,0.053228616017303915,0.05012594301186423,0.01,non_overlap_only,,input_specific_validation_background
0.020477560415586987,motorbike_like,0,mse_model_clean,default,0.048443113856534624,10139392847.331367,0.05480122379309904,,D2A_fixed_pfa,,D3-Rerun,clean_peak_percentile,0,0.053228616017303915,0.05012594301186423,0.01,non_overlap_only,,input_specific_validation_background
0.020477560415586987,pedestrian_like,55,mse_model_clean,default,0.048443113856534624,10139392847.331367,0.05480122379309904,0.4824561403508772,D2A_fixed_pfa,,D3-Rerun,clean_peak_percentile,114,0.053228616017303915,0.05012594301186423,0.01,non_overlap_only,,input_specific_validation_background
0.020477560415586987,vehicle_like,17,mse_model_clean,default,0.048443113856534624,10139392847.331367,0.05480122379309904,0.7391304347826086,D2A_fixed_pfa,,D3-Rerun,clean_peak_percentile,23,0.053228616017303915,0.05012594301186423,0.01,non_overlap_only,,input_specific_validation_background
0.020477560415586987,cyclist_like,44,mse_model_clean,default,0.048443113856534624,10139392847.331367,0.05480122379309904,0.29931972789115646,D2A_fixed_pfa,,D3-Rerun,clean_peak_percentile,147,0.053228616017303915,0.05012594301186423,0.001,all,,input_specific_validation_background
0.020477560415586987,motorbike_like,0,mse_model_clean,default,0.048443113856534624,10139392847.331367,0.05480122379309904,,D2A_fixed_pfa,,D3-Rerun,clean_peak_percentile,0,0.053228616017303915,0.05012594301186423,0.001,all,,input_specific_validation_background
0.020477560415586987,pedestrian_like,97,mse_model_clean,default,0.048443113856534624,10139392847.331367,0.05480122379309904,0.5,D2A_fixed_pfa,,D3-Rerun,clean_peak_percentile,194,0.053228616017303915,0.05012594301186423,0.001,all,,input_specific_validation_background
0.020477560415586987,vehicle_like,34,mse_model_clean,default,0.048443113856534624,10139392847.331367,0.05480122379309904,0.7391304347826086,D2A_fixed_pfa,,D3-Rerun,clean_peak_percentile,46,0.053228616017303915,0.05012594301186423,0.001,all,,input_specific_validation_background
0.020477560415586987,cyclist_like,3,mse_model_clean,default,0.048443113856534624,10139392847.331367,0.05480122379309904,0.045454545454545456,D2A_fixed_pfa,,D3-Rerun,clean_peak_percentile,66,0.053228616017303915,0.05012594301186423,0.001,non_overlap_only,,input_specific_validation_background
0.020477560415586987,motorbike_like,0,mse_model_clean,default,0.048443113856534624,10139392847.331367,0.05480122379309904,,D2A_fixed_pfa,,D3-Rerun,clean_peak_percentile,0,0.053228616017303915,0.05012594301186423,0.001,non_overlap_only,,input_specific_validation_background
0.020477560415586987,pedestrian_like,37,mse_model_clean,default,0.048443113856534624,10139392847.331367,0.05480122379309904,0.32456140350877194,D2A_fixed_pfa,,D3-Rerun,clean_peak_percentile,114,0.053228616017303915,0.05012594301186423,0.001,non_overlap_only,,input_specific_validation_background
0.020477560415586987,vehicle_like,15,mse_model_clean,default,0.048443113856534624,10139392847.331367,0.05480122379309904,0.6521739130434783,D2A_fixed_pfa,,D3-Rerun,clean_peak_percentile,23,0.053228616017303915,0.05012594301186423,0.001,non_overlap_only,,input_specific_validation_background
0.020477560415586987,cyclist_like,61,mse_model_clean,default,0.048443113856534624,10139392847.331367,0.05480122379309904,0.41496598639455784,D2A_fixed_pfa,,D3-Rerun,cfar_margin,147,0.053228616017303915,0.05012594301186423,0.01,all,,input_specific_validation_background
0.020477560415586987,motorbike_like,0,mse_model_clean,default,0.048443113856534624,10139392847.331367,0.05480122379309904,,D2A_fixed_pfa,,D3-Rerun,cfar_margin,0,0.053228616017303915,0.05012594301186423,0.01,all,,input_specific_validation_background
0.020477560415586987,pedestrian_like,117,mse_model_clean,default,0.048443113856534624,10139392847.331367,0.05480122379309904,0.6030927835051546,D2A_fixed_pfa,,D3-Rerun,cfar_margin,194,0.053228616017303915,0.05012594301186423,0.01,all,,input_specific_validation_background
0.020477560415586987,vehicle_like,38,mse_model_clean,default,0.048443113856534624,10139392847.331367,0.05480122379309904,0.8260869565217391,D2A_fixed_pfa,,D3-Rerun,cfar_margin,46,0.053228616017303915,0.05012594301186423,0.01,all,,input_specific_validation_background
0.020477560415586987,cyclist_like,8,mse_model_clean,default,0.048443113856534624,10139392847.331367,0.05480122379309904,0.12121212121212122,D2A_fixed_pfa,,D3-Rerun,cfar_margin,66,0.053228616017303915,0.05012594301186423,0.01,non_overlap_only,,input_specific_validation_background
