angle_total_width_bins,axis_sign,bin_mode,candidate,formula,hit_count,mean_abs_peak_angle_error_deg,mean_contrast_db,overlap_ratio,projection_hit_rate,range_mask_name,subset,target_count,unit_mode
2,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",8,73.8352023070728,5.535447234479488,0.012345679012345678,0.03292181069958848,narrow,weak,243,degrees_correct
2,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",5,50.797222427008364,6.081036584419117,0.21929824561403508,0.043859649122807015,narrow,mid,114,degrees_correct
2,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",4,47.24850073961441,5.781670506795248,0.4,0.13333333333333333,narrow,strong,30,degrees_correct
2,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",8,73.7354277587916,5.532056379318237,0.0,0.03333333333333333,narrow,non_overlap_only_weak,240,degrees_correct
2,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",0,81.81716616956878,5.806715647379558,1.0,0.0,narrow,overlap_only_weak,3,degrees_correct
3,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",18,64.98783601934387,6.037711870454695,0.14470284237726097,0.046511627906976744,narrow,all,387,degrees_correct
3,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",8,73.8352023070728,5.999946358763141,0.04526748971193416,0.03292181069958848,narrow,weak,243,degrees_correct
3,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",5,50.797222427008364,6.125377588104784,0.2894736842105263,0.043859649122807015,narrow,mid,114,degrees_correct
3,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",5,47.24850073961441,6.0104827880859375,0.4,0.16666666666666666,narrow,strong,30,degrees_correct
3,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",8,72.09477702160146,5.979005320318814,0.0,0.034482758620689655,narrow,non_overlap_only_weak,232,degrees_correct
3,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",0,110.54235378246872,6.441611896861684,1.0,0.0,narrow,overlap_only_weak,11,degrees_correct
5,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",20,64.98783601934387,6.494439718951242,0.19121447028423771,0.05167958656330749,narrow,all,387,degrees_correct
5,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",10,73.8352023070728,6.4559460863655,0.09465020576131687,0.0411522633744856,narrow,weak,243,degrees_correct
5,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",5,50.797222427008364,6.592591469747978,0.30701754385964913,0.043859649122807015,narrow,mid,114,degrees_correct
5,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",5,47.24850073961441,6.433261489868164,0.5333333333333333,0.16666666666666666,narrow,strong,30,degrees_correct
5,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",10,70.50152358588694,6.43772144317627,0.0,0.045454545454545456,narrow,non_overlap_only_weak,220,degrees_correct
5,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",0,105.72256398798116,6.6302687603494395,1.0,0.0,narrow,overlap_only_weak,23,degrees_correct
7,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",25,64.98783601934387,6.690693266323986,0.19896640826873385,0.06459948320413436,narrow,all,387,degrees_correct
7,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",11,73.8352023070728,6.580283710495435,0.09465020576131687,0.04526748971193416,narrow,weak,243,degrees_correct
7,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",9,50.797222427008364,6.940408003957648,0.3157894736842105,0.07894736842105263,narrow,mid,114,degrees_correct
7,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",5,47.24850073961441,6.636094665527343,0.6,0.16666666666666666,narrow,strong,30,degrees_correct
7,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",11,70.50152358588694,6.548527492176403,0.0,0.05,narrow,non_overlap_only_weak,220,degrees_correct
7,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",0,105.72256398798116,6.884038842242697,1.0,0.0,narrow,overlap_only_weak,23,degrees_correct
10,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",28,64.98783601934387,6.632575170630324,0.21705426356589147,0.07235142118863049,narrow,all,387,degrees_correct
10,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",11,73.8352023070728,6.407681877230421,0.09876543209876543,0.04526748971193416,narrow,weak,243,degrees_correct
10,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",12,50.797222427008364,7.103797577975089,0.3508771929824561,0.10526315789473684,narrow,mid,114,degrees_correct
10,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",5,47.24850073961441,6.66356569925944,0.6666666666666666,0.16666666666666666,narrow,strong,30,degrees_correct
10,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",10,70.74737684749927,6.363497311666132,0.0,0.045662100456621,narrow,non_overlap_only_weak,219,degrees_correct
10,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",1,102.0116096256814,6.810866038004558,1.0,0.041666666666666664,narrow,overlap_only_weak,24,degrees_correct
1,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",13,65.76688000102152,5.973826208779978,0.10594315245478036,0.03359173126614987,default,all,387,degrees_correct
1,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",8,73.41877671849029,5.813500411637866,0.0,0.030534351145038167,default,weak,262,degrees_correct
1,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",2,50.410835908427224,6.331234769123356,0.25609756097560976,0.024390243902439025,default,mid,82,degrees_correct
1,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",3,48.4273143176708,6.269125206525936,0.46511627906976744,0.06976744186046512,default,strong,43,degrees_correct
1,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",8,73.41877671849029,5.813500411637866,0.0,0.030534351145038167,default,non_overlap_only_weak,262,degrees_correct
1,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",0,,,0.0,0.0,default,overlap_only_weak,0,degrees_correct
2,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",17,65.76688000102152,6.47387985111207,0.31007751937984496,0.04392764857881137,default,all,387,degrees_correct
2,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",10,73.41877671849029,6.345797240279103,0.1297709923664122,0.03816793893129771,default,weak,262,degrees_correct
2,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",3,50.410835908427224,6.735373241145436,0.6341463414634146,0.036585365853658534,default,mid,82,degrees_correct
2,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",4,48.4273143176708,6.755628364030705,0.7906976744186046,0.09302325581395349,default,strong,43,degrees_correct
2,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",10,74.8129648898711,6.355680633009526,0.0,0.043859649122807015,default,non_overlap_only_weak,228,degrees_correct
2,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",0,64.0695148633483,6.279520371380975,1.0,0.0,default,overlap_only_weak,34,degrees_correct
3,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",19,65.76688000102152,6.827599833486,0.3772609819121447,0.04909560723514212,default,all,387,degrees_correct
3,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",10,73.41877671849029,6.780278096672233,0.1717557251908397,0.03816793893129771,default,weak,262,degrees_correct
3,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",3,50.410835908427224,6.890168678469774,0.7682926829268293,0.036585365853658534,default,mid,82,degrees_correct
3,normal,fftshift_linear_sin,atan2_py_px_current,"atan2(py, px)",6,48.4273143176708,6.996614944103152,0.8837209302325582,0.13953488372093023,default,strong,43,degrees_correct
